booking_id,plan_name,destination,departure_date,pax,revenue,customer_segment,booking_date
BK00263,奄美大島ネイチャー,鹿児島,2025-03-31,2,223148,カップル,2025-02-20
BK00264,信州そば巡り,長野,2024-07-20,3,162049,シニア,2024-07-02
BK00265,石垣島ダイビング,沖縄,2024-07-24,4,613294,ファミリー,2024-04-29
BK00266,沖縄3泊4日ファミリープラン,沖縄,2025-03-03,6,972602,ファミリー,2025-02-19
BK00267,宮古島絶景ビーチ,沖縄,2024-11-25,4,660618,カップル,2024-08-31
BK00268,奄美大島ネイチャー,鹿児島,2024-09-04,5,691701,カップル,2024-07-28
BK00269,沖縄リゾートステイ,沖縄,2025-03-15,3,360523,カップル,2025-01-11
BK00270,四国お遍路ウォーキング,四国,2024-12-10,6,374788,シニア,2024-10-20
BK00271,京都紅葉めぐり,京都,2024-11-26,3,191238,シニア,2024-10-20
BK00272,沖縄リゾートステイ,沖縄,2024-12-30,5,571993,カップル,2024-11-04
BK00273,四国お遍路ウォーキング,四国,2024-07-27,2,122039,シニア,2024-06-10
BK00274,金沢文化体験,石川,2025-01-04,1,81720,カップル,2024-10-26
BK00275,宮古島絶景ビーチ,沖縄,2024-10-16,2,295699,アクティブ,2024-10-03
BK00276,金沢文化体験,石川,2025-01-20,1,42870,アクティブ,2024-11-06
BK00277,長野高原リトリート,長野,2024-10-30,1,56605,カップル,2024-09-07
BK00278,函館ロマンチック旅,北海道,2024-11-21,3,236264,カップル,2024-11-05
BK00279,信州そば巡り,長野,2024-07-12,2,81722,シニア,2024-04-18
BK00280,函館ロマンチック旅,北海道,2024-10-21,2,148664,カップル,2024-09-26
BK00281,沖縄リゾートステイ,沖縄,2025-03-11,5,722863,カップル,2025-01-21
BK00282,日光・鬼怒川温泉,栃木,2025-03-09,6,372382,アクティブ,2025-01-20
BK00283,奄美大島ネイチャー,鹿児島,2024-07-22,3,353020,シニア,2024-06-02
BK00284,金沢文化体験,石川,2025-05-17,2,105764,グループ,2025-03-24
BK00285,沖縄3泊4日ファミリープラン,沖縄,2024-08-06,2,309714,一人旅,2024-05-31
BK00286,九州グルメツアー,九州,2025-05-26,3,311419,グループ,2025-03-06
BK00287,広島・宮島歴史探訪,広島,2025-02-23,1,102809,グループ,2025-01-16
BK00288,四国お遍路ウォーキング,四国,2024-09-25,3,196885,グループ,2024-08-30
BK00289,沖縄リゾートステイ,沖縄,2024-04-29,3,433223,カップル,2024-04-05
BK00290,日光・鬼怒川温泉,栃木,2024-11-07,6,630759,ファミリー,2024-09-21
BK00291,長野高原リトリート,長野,2024-07-18,5,506224,カップル,2024-04-20
BK00292,九州グルメツアー,九州,2025-01-27,2,152986,アクティブ,2024-11-10
BK00293,金沢文化体験,石川,2024-12-28,2,292317,グループ,2024-10-21
BK00294,宮古島絶景ビーチ,沖縄,2024-07-05,3,414531,カップル,2024-04-20
BK00295,奄美大島ネイチャー,鹿児島,2025-04-23,6,272720,カップル,2025-03-11
BK00296,北海道スキーリゾート,北海道,2024-09-02,2,146212,ファミリー,2024-07-30
BK00297,北海道スキーリゾート,北海道,2025-02-10,4,306454,ファミリー,2025-01-21
BK00298,日光・鬼怒川温泉,栃木,2025-03-05,2,83274,ファミリー,2024-12-07
BK00299,箱根温泉週末プラン,箱根,2025-06-15,6,234302,グループ,2025-03-30
BK00300,金沢文化体験,石川,2024-06-04,4,251239,グループ,2024-05-03
BK00301,北海道ラベンダー畑ツアー,北海道,2024-07-22,2,414418,カップル,2024-05-03
BK00302,伊豆半島ドライブ,静岡,2025-01-12,6,658677,カップル,2025-01-01
BK00303,奄美大島ネイチャー,鹿児島,2025-03-21,2,220522,シニア,2025-03-13
BK00304,屋久島トレッキング,鹿児島,2024-07-23,3,775199,グループ,2024-05-08
BK00305,北海道スキーリゾート,北海道,2025-01-14,2,198017,ファミリー,2024-12-24
BK00306,石垣島ダイビング,沖縄,2025-05-14,4,670226,アクティブ,2025-03-25
BK00307,信州そば巡り,長野,2024-07-06,5,454122,シニア,2024-05-09
BK00308,京都紅葉めぐり,京都,2025-01-21,3,150541,シニア,2024-12-28
BK00309,屋久島トレッキング,鹿児島,2025-01-04,2,385156,アクティブ,2024-11-16
BK00310,長野高原リトリート,長野,2024-05-19,2,134595,カップル,2024-04-12
BK00311,日光・鬼怒川温泉,栃木,2024-05-22,4,530581,ファミリー,2024-04-06
BK00312,信州そば巡り,長野,2025-01-13,6,478916,一人旅,2024-12-09
BK00313,長野高原リトリート,長野,2024-11-17,6,1180862,カップル,2024-09-01
BK00314,東北温泉巡り,東北,2025-02-17,5,164582,シニア,2024-11-26
BK00315,長野高原リトリート,長野,2025-05-11,2,423813,カップル,2025-02-21
BK00316,宮古島絶景ビーチ,沖縄,2024-07-27,2,429463,カップル,2024-07-01
BK00317,東北温泉巡り,東北,2024-08-15,2,151651,シニア,2024-06-07
